kind,stage,severity,seed,condition,accuracy,n
intact,none,0.0,0,canonical,0.980000,100
intact,none,0.0,0,fragmented,0.660000,100
intact,none,0.0,0,low_contrast,0.990000,100
intact,none,0.0,0,noise,0.960000,100
intact,none,0.0,0,crowded,0.580000,100
intact,none,0.0,0,rotated,0.900000,100
intact,none,0.0,0,sheared,0.890000,100
ablation,V1,0.06,0,canonical,0.780000,100
ablation,V1,0.06,0,fragmented,0.500000,100
ablation,V1,0.06,0,low_contrast,0.760000,100
ablation,V1,0.06,0,noise,0.890000,100
ablation,V1,0.06,0,crowded,0.400000,100
ablation,V1,0.06,0,rotated,0.700000,100
ablation,V1,0.06,0,sheared,0.670000,100
ablation,V2,0.06,0,canonical,0.990000,100
ablation,V2,0.06,0,fragmented,0.640000,100
ablation,V2,0.06,0,low_contrast,0.940000,100
ablation,V2,0.06,0,noise,0.900000,100
ablation,V2,0.06,0,crowded,0.570000,100
ablation,V2,0.06,0,rotated,0.880000,100
ablation,V2,0.06,0,sheared,0.900000,100
ablation,V4,0.06,0,canonical,0.970000,100
ablation,V4,0.06,0,fragmented,0.570000,100
ablation,V4,0.06,0,low_contrast,0.940000,100
ablation,V4,0.06,0,noise,0.830000,100
ablation,V4,0.06,0,crowded,0.540000,100
ablation,V4,0.06,0,rotated,0.830000,100
ablation,V4,0.06,0,sheared,0.800000,100
ablation,IT,0.06,0,canonical,0.980000,100
ablation,IT,0.06,0,fragmented,0.660000,100
ablation,IT,0.06,0,low_contrast,0.960000,100
ablation,IT,0.06,0,noise,0.950000,100
ablation,IT,0.06,0,crowded,0.540000,100
ablation,IT,0.06,0,rotated,0.870000,100
ablation,IT,0.06,0,sheared,0.850000,100
ablation,V1,0.06,1,canonical,0.990000,100
ablation,V1,0.06,1,fragmented,0.580000,100
ablation,V1,0.06,1,low_contrast,0.910000,100
ablation,V1,0.06,1,noise,0.830000,100
ablation,V1,0.06,1,crowded,0.570000,100
ablation,V1,0.06,1,rotated,0.840000,100
ablation,V1,0.06,1,sheared,0.850000,100
ablation,V2,0.06,1,canonical,0.960000,100
ablation,V2,0.06,1,fragmented,0.620000,100
ablation,V2,0.06,1,low_contrast,0.940000,100
ablation,V2,0.06,1,noise,0.810000,100
ablation,V2,0.06,1,crowded,0.480000,100
ablation,V2,0.06,1,rotated,0.830000,100
ablation,V2,0.06,1,sheared,0.830000,100
ablation,V4,0.06,1,canonical,0.940000,100
ablation,V4,0.06,1,fragmented,0.530000,100
ablation,V4,0.06,1,low_contrast,0.900000,100
ablation,V4,0.06,1,noise,0.890000,100
ablation,V4,0.06,1,crowded,0.490000,100
ablation,V4,0.06,1,rotated,0.840000,100
ablation,V4,0.06,1,sheared,0.740000,100
ablation,IT,0.06,1,canonical,0.900000,100
ablation,IT,0.06,1,fragmented,0.560000,100
ablation,IT,0.06,1,low_contrast,0.890000,100
ablation,IT,0.06,1,noise,0.930000,100
ablation,IT,0.06,1,crowded,0.540000,100
ablation,IT,0.06,1,rotated,0.850000,100
ablation,IT,0.06,1,sheared,0.840000,100
ablation,V1,0.06,2,canonical,0.800000,100
ablation,V1,0.06,2,fragmented,0.540000,100
ablation,V1,0.06,2,low_contrast,0.590000,100
ablation,V1,0.06,2,noise,0.790000,100
ablation,V1,0.06,2,crowded,0.410000,100
ablation,V1,0.06,2,rotated,0.690000,100
ablation,V1,0.06,2,sheared,0.780000,100
ablation,V2,0.06,2,canonical,0.920000,100
ablation,V2,0.06,2,fragmented,0.630000,100
ablation,V2,0.06,2,low_contrast,0.940000,100
ablation,V2,0.06,2,noise,0.930000,100
ablation,V2,0.06,2,crowded,0.500000,100
ablation,V2,0.06,2,rotated,0.800000,100
ablation,V2,0.06,2,sheared,0.800000,100
ablation,V4,0.06,2,canonical,0.950000,100
ablation,V4,0.06,2,fragmented,0.490000,100
ablation,V4,0.06,2,low_contrast,0.950000,100
ablation,V4,0.06,2,noise,0.870000,100
ablation,V4,0.06,2,crowded,0.430000,100
ablation,V4,0.06,2,rotated,0.720000,100
ablation,V4,0.06,2,sheared,0.840000,100
ablation,IT,0.06,2,canonical,0.970000,100
ablation,IT,0.06,2,fragmented,0.650000,100
ablation,IT,0.06,2,low_contrast,0.980000,100
ablation,IT,0.06,2,noise,0.950000,100
ablation,IT,0.06,2,crowded,0.560000,100
ablation,IT,0.06,2,rotated,0.870000,100
ablation,IT,0.06,2,sheared,0.850000,100
ablation,V1,0.06,3,canonical,1.000000,100
ablation,V1,0.06,3,fragmented,0.560000,100
ablation,V1,0.06,3,low_contrast,0.680000,100
ablation,V1,0.06,3,noise,0.930000,100
ablation,V1,0.06,3,crowded,0.580000,100
ablation,V1,0.06,3,rotated,0.870000,100
ablation,V1,0.06,3,sheared,0.850000,100
ablation,V2,0.06,3,canonical,0.950000,100
ablation,V2,0.06,3,fragmented,0.620000,100
ablation,V2,0.06,3,low_contrast,0.910000,100
ablation,V2,0.06,3,noise,0.940000,100
ablation,V2,0.06,3,crowded,0.500000,100
ablation,V2,0.06,3,rotated,0.840000,100
ablation,V2,0.06,3,sheared,0.800000,100
ablation,V4,0.06,3,canonical,0.920000,100
ablation,V4,0.06,3,fragmented,0.660000,100
ablation,V4,0.06,3,low_contrast,0.940000,100
ablation,V4,0.06,3,noise,0.910000,100
ablation,V4,0.06,3,crowded,0.530000,100
ablation,V4,0.06,3,rotated,0.820000,100
ablation,V4,0.06,3,sheared,0.790000,100
ablation,IT,0.06,3,canonical,0.970000,100
ablation,IT,0.06,3,fragmented,0.620000,100
ablation,IT,0.06,3,low_contrast,0.970000,100
ablation,IT,0.06,3,noise,0.940000,100
ablation,IT,0.06,3,crowded,0.530000,100
ablation,IT,0.06,3,rotated,0.890000,100
